discipline	Toutes les disciplines
discipline:1261:1253:1523	Droit de la consommation	https://w3id.org/kim/hochschulfaechersystematik/n135
discipline:1261:1253:1525	Droit de la famille	https://w3id.org/kim/hochschulfaechersystematik/n135
discipline:1261:1253:1527	Droit de la responsabilité civile	https://w3id.org/kim/hochschulfaechersystematik/n135
discipline:1261:1253:1533	Droit des personnes	https://w3id.org/kim/hochschulfaechersystematik/n135
discipline:1261:1253:1535	Droit des sûretés	https://w3id.org/kim/hochschulfaechersystematik/n135
discipline:1261:1253:1537	Droit du commerce international	https://w3id.org/kim/hochschulfaechersystematik/n135
discipline:1261:1253:1543	Droit judiciaire privé	https://w3id.org/kim/hochschulfaechersystematik/n135
discipline:1261:1253:1545	Droit pénal	https://w3id.org/kim/hochschulfaechersystematik/n135
discipline:1261:1253:1547	Droit social	https://w3id.org/kim/hochschulfaechersystematik/n135
discipline:1261:1253:1557	Libertés individuelles et fondamentales	https://w3id.org/kim/hochschulfaechersystematik/n135
discipline:1261:1263	Droit public	https://w3id.org/kim/hochschulfaechersystematik/n135
discipline:1261:1263:1517	Droit constitutionnel	https://w3id.org/kim/hochschulfaechersystematik/n135
discipline:1261:1263:1519	Droit de l'environnement	https://w3id.org/kim/hochschulfaechersystematik/n135
discipline:1261:1263:1521	Droit de l'urbanisme	https://w3id.org/kim/hochschulfaechersystematik/n135
discipline:1261:1263:1529	Droit des collectivités territoriales	https://w3id.org/kim/hochschulfaechersystematik/n135
discipline:1261:1263:1531	Droit des libertés publiques	https://w3id.org/kim/hochschulfaechersystematik/n135
discipline:1261:1263:1539	Droit européen	https://w3id.org/kim/hochschulfaechersystematik/n135
discipline:1261:1263:1541	Droit international public	https://w3id.org/kim/hochschulfaechersystematik/n135
discipline:1261:1513	Sciences politiques	https://w3id.org/kim/hochschulfaechersystematik/n25
discipline:1261:1513:1515	Aires régionales	https://w3id.org/kim/hochschulfaechersystematik/n129
discipline:1261:1513:1549	Economie politique	https://w3id.org/kim/hochschulfaechersystematik/n129
discipline:1261:1513:1555	Institutions et organisations politiques	https://w3id.org/kim/hochschulfaechersystematik/n129
discipline:1261:1513:1561	Politique comparée	https://w3id.org/kim/hochschulfaechersystematik/n129
discipline:1261:1513:1563	Politiques publiques	https://w3id.org/kim/hochschulfaechersystematik/n129
discipline:1261:1513:1565	Relations internationales	https://w3id.org/kim/hochschulfaechersystematik/n129
discipline:1261:1513:1567	Sociologie politique	https://w3id.org/kim/hochschulfaechersystematik/n129
discipline:1261:1513:1569	Théorie politique	https://w3id.org/kim/hochschulfaechersystematik/n129
discipline:1261:1551	Etudes juridiques	https://w3id.org/kim/hochschulfaechersystematik/n135
discipline:1261:1553	Histoire du droit	https://w3id.org/kim/hochschulfaechersystematik/n135
discipline:1261:1559	Métiers et formations	https://w3id.org/kim/hochschulfaechersystematik/n135
discipline:1597	Lettres, arts, langues et civilisations
discipline:1597:1571	Langues, littératures et civilisations étrangères	https://w3id.org/kim/hochschulfaechersystematik/n07
discipline:1597:1571:1573	Allemand	https://w3id.org/kim/hochschulfaechersystematik/n067
discipline:1597:1571:1575	Amazighe	https://w3id.org/kim/hochschulfaechersystematik/n002
discipline:1597:1571:1577	Anglais	https://w3id.org/kim/hochschulfaechersystematik/n008
discipline:1597:1571:1579	Arabe	https://w3id.org/kim/hochschulfaechersystematik/n010
discipline:1597:1571:1609	Chinois	https://w3id.org/kim/hochschulfaechersystematik/n145
discipline:1597:1571:1613	Espagnol	https://w3id.org/kim/hochschulfaechersystematik/n150
discipline:1597:1571:1615	Grec	https://w3id.org/kim/hochschulfaechersystematik/n070
discipline:1597:1571:1617	Hébreu	https://w3id.org/kim/hochschulfaechersystematik/n073
discipline:1597:1571:1619	Islandais	https://w3id.org/kim/hochschulfaechersystematik/n024
discipline:1597:1571:1621	Italien	https://w3id.org/kim/hochschulfaechersystematik/n11
discipline:1597:1571:1623	Japonais	https://w3id.org/kim/hochschulfaechersystematik/n085
discipline:1597:1571:1645	Polonais	https://w3id.org/kim/hochschulfaechersystematik/n206
discipline:1597:1571:1647	Portugais	https://w3id.org/kim/hochschulfaechersystematik/n131
discipline:1597:1571:1649	Roumain et rhéto-roman	https://w3id.org/kim/hochschulfaechersystematik/n137
discipline:1597:1571:1651	Russe	https://w3id.org/kim/hochschulfaechersystematik/n139
discipline:1597:1571:1659	Syriaque	https://w3id.org/kim/hochschulfaechersystematik/n002
discipline:1597:1581	Arts	https://w3id.org/kim/hochschulfaechersystematik/n9
discipline:1597:1581:1583	Architecture, art du paysage	https://w3id.org/kim/hochschulfaechersystematik/n013
discipline:1597:1581:1599	Arts : critique et théorie	https://w3id.org/kim/hochschulfaechersystematik/n013
discipline:1597:1581:1601	Arts du spectacle (théâtre, danse...)	https://w3id.org/kim/hochschulfaechersystematik/n035
discipline:1597:1581:1607	Arts visuels et plastiques	https://w3id.org/kim/hochschulfaechersystematik/n75
discipline:1597:1581:1611	Cinéma et audiovisuel	https://w3id.org/kim/hochschulfaechersystematik/n054
discipline:1597:1581:1639	Musique	https://w3id.org/kim/hochschulfaechersystematik/n78
discipline:1597:1585	Histoire de l'art	https://w3id.org/kim/hochschulfaechersystematik/n78
discipline:1597:1585:1587	Art classique	https://w3id.org/kim/hochschulfaechersystematik/n78
discipline:1597:1585:1589	Art de la Renaissance	https://w3id.org/kim/hochschulfaechersystematik/n78
discipline:1597:1585:1591	Art du XIXe s.	https://w3id.org/kim/hochschulfaechersystematik/n78
discipline:1597:1585:1593	Art du XXe s. et du XXIe s.	https://w3id.org/kim/hochschulfaechersystematik/n78
discipline:1597:1585:1595	Art médiéval	https://w3id.org/kim/hochschulfaechersystematik/n78
discipline:1597:1585:1603	Arts préhistoriques et de l'Antiquité	https://w3id.org/kim/hochschulfaechersystematik/n78
discipline:1597:1585:1605	Arts premiers	https://w3id.org/kim/hochschulfaechersystematik/n78
discipline:1597:1625	Langue et littérature française, lettres classiques	https://w3id.org/kim/hochschulfaechersystematik/n059
discipline:1597:1625:1627	Langues et cultures des régions françaises	https://w3id.org/kim/hochschulfaechersystematik/n059
discipline:1597:1625:1629	Lettres classiques	https://w3id.org/kim/hochschulfaechersystematik/n059
discipline:1597:1625:1637	Littérature moderne et contemporaine	https://w3id.org/kim/hochschulfaechersystematik/n059
discipline:1597:1631	Sciences du langage	https://w3id.org/kim/hochschulfaechersystematik/n07
discipline:1597:1631:1633	Lexicologie	https://w3id.org/kim/hochschulfaechersystematik/n07
discipline:1597:1631:1635	Linguistique	https://w3id.org/kim/hochschulfaechersystematik/n07
discipline:1597:1631:1643	Phonétique et phonologie	https://w3id.org/kim/hochschulfaechersystematik/n07
discipline:1597:1631:1653	Sémantique	https://w3id.org/kim/hochschulfaechersystematik/n07
discipline:1597:1631:1655	Sémiologie	https://w3id.org/kim/hochschulfaechersystematik/n07
discipline:1597:1631:1657	Sociolinguistique	https://w3id.org/kim/hochschulfaechersystematik/n07
discipline:1597:1631:1849	Psychologie du langage ou psycholinguistique	https://w3id.org/kim/hochschulfaechersystematik/n07
discipline:1597:1641	Non classé	https://w3id.org/kim/hochschulfaechersystematik/n74
discipline:1597:1851	Formations et metiers des arts et des lettres	https://w3id.org/kim/hochschulfaechersystematik/n74
discipline:987	Sciences humaines, sociales, de l’éducation et de l’information	https://w3id.org/kim/hochschulfaechersystematik/n3
discipline:987:1099	Histoire des sciences	https://w3id.org/kim/hochschulfaechersystematik/n030
discipline:987:1099:1101	Histoire de la physique et des mathématiques	https://w3id.org/kim/hochschulfaechersystematik/n030
discipline:987:1099:1423	Histoire de la médecine	https://w3id.org/kim/hochschulfaechersystematik/n030
discipline:987:1099:1669	Histoire de l'astronomie	https://w3id.org/kim/hochschulfaechersystematik/n030
discipline:987:1099:1681	Histoire de la chimie	https://w3id.org/kim/hochschulfaechersystematik/n030
discipline:987:1099:1723	Histoire de l'informatique	https://w3id.org/kim/hochschulfaechersystematik/n030
discipline:987:1099:1757	Histoire des sciences humaines et sociales	https://w3id.org/kim/hochschulfaechersystematik/n030
discipline:987:1099:1781	Histoire des sciences de la vie et de la Terre	https://w3id.org/kim/hochschulfaechersystematik/n030
discipline:987:1147	Sciences de l'éducation	https://w3id.org/kim/hochschulfaechersystematik/n33	
discipline:987:1147:1149	Pédagogie et didactique	https://w3id.org/kim/hochschulfaechersystematik/n052
discipline:987:1147:1695	Formation continue	https://w3id.org/kim/hochschulfaechersystematik/n321
discipline:987:1147:1703	Enseignement à distance	https://w3id.org/kim/hochschulfaechersystematik/n33
discipline:987:1147:1743	Politique éducative	https://w3id.org/kim/hochschulfaechersystematik/n33
discipline:987:1147:1749	Enseignement primaire	https://w3id.org/kim/hochschulfaechersystematik/n115
discipline:987:1147:1753	Enseignement secondaire	https://w3id.org/kim/hochschulfaechersystematik/n361
discipline:987:1147:1763	Enseignement supérieur	https://w3id.org/kim/hochschulfaechersystematik/n321	
discipline:987:1147:1775	Technologie de l'information et de la communication pour l'enseignement (TICE)	https://w3id.org/kim/hochschulfaechersystematik/n33
discipline:987:1155	Philosophie	https://w3id.org/kim/hochschulfaechersystematik/n127
discipline:987:1155:1157	Philosophie des sciences et des techniques, épistémologie	https://w3id.org/kim/hochschulfaechersystematik/n127
discipline:987:1155:1665	Philosophie ancienne et médiévale	https://w3id.org/kim/hochschulfaechersystematik/n127
discipline:987:1155:1693	Philosophie contemporaine	https://w3id.org/kim/hochschulfaechersystematik/n127
discipline:987:1155:1707	Philosophie du droit	https://w3id.org/kim/hochschulfaechersystematik/n127
discipline:987:1155:1735	Morale (éthique)	https://w3id.org/kim/hochschulfaechersystematik/n127
discipline:987:1155:1737	Philosophie générale par notions	https://w3id.org/kim/hochschulfaechersystematik/n127
discipline:987:1155:1739	Philosophie orientale	https://w3id.org/kim/hochschulfaechersystematik/n127
discipline:987:1155:1745	Philosophie politique	https://w3id.org/kim/hochschulfaechersystematik/n127
discipline:987:1661	Histoire et archéologie	https://w3id.org/kim/hochschulfaechersystematik/n05
discipline:987:1661:1663	Histoire ancienne et médiévale	https://w3id.org/kim/hochschulfaechersystematik/n272
discipline:987:1661:1715	Archéologie funéraire	https://w3id.org/kim/hochschulfaechersystematik/n012
discipline:987:1661:1717	Histoire générale	https://w3id.org/kim/hochschulfaechersystematik/n068
discipline:987:1661:1719	Archéologie industrielle	https://w3id.org/kim/hochschulfaechersystematik/n012
discipline:987:1661:1729	Archéologie médiévale	https://w3id.org/kim/hochschulfaechersystematik/n012
discipline:987:1661:1733	Histoire moderne et contemporaine	https://w3id.org/kim/hochschulfaechersystematik/n273
discipline:987:1661:1741	Archéologie du paysage et du littoral	https://w3id.org/kim/hochschulfaechersystematik/n012
discipline:987:1661:1747	Archéologie préhistorique	https://w3id.org/kim/hochschulfaechersystematik/n012
discipline:987:1661:1761	Archéologie subaquatique	https://w3id.org/kim/hochschulfaechersystematik/n012
discipline:987:1661:1765	Archéologie technique et théorie	https://w3id.org/kim/hochschulfaechersystematik/n012
discipline:987:1661:1779	Archéologie urbaine	https://w3id.org/kim/hochschulfaechersystematik/n012
discipline:987:1667	Anthropologie et ethnologie	https://w3id.org/kim/hochschulfaechersystematik/n548
discipline:987:1671	Sciences des religions	https://w3id.org/kim/hochschulfaechersystematik/n136
discipline:987:1671:1673	Autres religions	https://w3id.org/kim/hochschulfaechersystematik/n136
discipline:987:1671:1679	Bouddhisme	https://w3id.org/kim/hochschulfaechersystematik/n136
discipline:987:1671:1683	Christianisme	https://w3id.org/kim/hochschulfaechersystematik/n136
discipline:987:1671:1725	Islam	https://w3id.org/kim/hochschulfaechersystematik/n083
discipline:987:1671:1727	Judaïsme	https://w3id.org/kim/hochschulfaechersystematik/n073
discipline:987:1671:1771	Théorie des religions	https://w3id.org/kim/hochschulfaechersystematik/n136
discipline:987:1675	Sciences de l'information et de la communication	https://w3id.org/kim/hochschulfaechersystematik/n06
discipline:987:1675:1677	Sciences des bibliothèques	https://w3id.org/kim/hochschulfaechersystematik/n022
discipline:987:1675:1691	Théorie de la communication	https://w3id.org/kim/hochschulfaechersystematik/n303
discipline:987:1675:1705	Aspects juridiques	https://w3id.org/kim/hochschulfaechersystematik/n303
discipline:987:1675:1713	Edition, édition électronique et multimédia	https://w3id.org/kim/hochschulfaechersystematik/n302
discipline:987:1675:1721	Infographie	https://w3id.org/kim/hochschulfaechersystematik/n022
discipline:987:1675:1767	Technologies de l'information et de la communication	https://w3id.org/kim/hochschulfaechersystematik/n302
discipline:987:1675:1777	Traitement de l'information	https://w3id.org/kim/hochschulfaechersystematik/n022
discipline:987:1675:1783	Médias	https://w3id.org/kim/hochschulfaechersystematik/n302
discipline:987:1685	Psychologie	https://w3id.org/kim/hochschulfaechersystematik/n132
discipline:987:1685:1687	Psychologie clinique, neurosciences	https://w3id.org/kim/hochschulfaechersystematik/n132
discipline:987:1685:1689	Psychologie cognitive	https://w3id.org/kim/hochschulfaechersystematik/n132
discipline:987:1685:1701	Psychologie du développement	https://w3id.org/kim/hochschulfaechersystematik/n132
discipline:987:1685:1759	Psychologie sociale, appliquée et comparée	https://w3id.org/kim/hochschulfaechersystematik/n132
discipline:987:1685:1773	Théories psychologiques	https://w3id.org/kim/hochschulfaechersystematik/n132
discipline:987:1697	Sociologie	https://w3id.org/kim/hochschulfaechersystematik/n149
discipline:987:1697:1699	Sociologie des cultures	https://w3id.org/kim/hochschulfaechersystematik/n149
discipline:987:1697:1751	Processus sociaux, changements sociaux	https://w3id.org/kim/hochschulfaechersystematik/n149
discipline:987:1697:1755	Services et problèmes sociaux	https://w3id.org/kim/hochschulfaechersystematik/n149
discipline:987:1709	Géographie, aménagement, démographie	https://w3id.org/kim/hochschulfaechersystematik/n44
discipline:987:1709:1711	Géographie physique, humaine, économique et régionale	https://w3id.org/kim/hochschulfaechersystematik/n178
discipline:987:1709:1769	Aménagement du territoire, urbanisme	https://w3id.org/kim/hochschulfaechersystematik/n178
discipline:987:1709:235951	Démographie	https://w3id.org/kim/hochschulfaechersystematik/n178
discipline:987:1731	Métiers et formations en SHS	https://w3id.org/kim/hochschulfaechersystematik/n26
discipline:987:1785	Non classé	https://w3id.org/kim/hochschulfaechersystematik/n26
discipline:987:989	Méthodes en SHS	https://w3id.org/kim/hochschulfaechersystematik/n26
